,tweet_id,datetime,tweet_text,polarity,sentiment,author_id,followers_count,retweet_count,like_count,collection_time,original_tweet_id
32,1430864868744351756,2021-08-26 08:09:03,Follow amp retweet to win all in subscription worth 120 for a month 4 subscriptions to be won for 100 retweets 1 winner from every 25 Open to current old amp new followers NIO CLOV SDC WMT MU BK DIS AAPL GNOG RKT TSLA M EXPR PLTR RSI AMD BMBL AMC F,0.22272727272727275,positive,147151082,513,16,8,2021-11-03 08:46:28,
20,1445643428952346632,2021-10-06 02:53:46,The credentials on this addition to the BlackSky board are seriously underestimated by the street Also note that In Q Tel which Ms Gordon started and backed by the CIA was an early seed investor in Palantir Great score BlackSky BKSY PLTR,0.1888888888888889,positive,33555641,86,1,2,2021-11-03 08:46:28,
3,1452639583921852418,2021-10-25 10:14:00,PLTR Breaks out from this falling wedge pattern and attempts to clear 50SMA on above average volume today 30 Targets 27 29,-0.01666666666666666,negative,3270306985,59743,7,98,2021-11-03 08:46:28,
16,1452967403990753293,2021-10-26 07:56:38,PLTR Jefferies analyst Brent Thill reiterated a Buy rating and 31 00 price target on Palantir Technologies Inc NYSE PLTR,0.0,neutral,1444286437860511745,,34,332,2021-11-03 08:46:28,
33,1453436339248975874,2021-10-27 15:00:01,What do you get when you add the power of 12 terabytes of connected vehicle data to the processing capabilities of s Foundry To find out we hosted a Hack athon to build DataForGood products for OEMs over 48h with 300k views on our Lives VOSO PLTR,0.0,neutral,2863741665,,64,395,2021-11-03 08:46:28,
23,1453651344489947142,2021-10-28 05:14:22,People complaining about PLTR trading sideways for the past few weeks should NOT be in this stock to begin with Simple,-0.15,negative,294548572,,32,1054,2021-11-03 08:46:28,
34,1453797787452297225,2021-10-28 14:56:17,The Wire Trump Special Thread 1 Attorney General Garland yesterday mentioned new forensic methods to catch Jan 6 terrorist insurrectionists that were not commonly used prior to 2003 One is cellphone tower data I mentioned it already on Jan 10 Let me tell this via a story,0.13870129870129871,positive,17477864,,1782,3772,2021-11-03 08:46:28,
14,1454099183325966340,2021-10-29 10:53:55,Long Positions TSLA AAPL MSFT AMZN POOL FB DHR NVDA ZM CRWD PLTR SQ PYPL MSCI MAR COIN QQQ EH SPXL GOOGL MVRS Watch list TREX DIS SE NTDOY BTC BA EL MRNA MO BLK ETH TECL WEBL RH NDAQ 43juni,-0.05,negative,1492797522,,2,2,2021-11-03 08:46:28,
22,1454256007052513280,2021-10-29 21:17:05,Update on Apple Tesla Nio Palantir AMD the S amp P 500 Nasdaq Airlines Draftkings Bitcoin Ethereum Tech AAPL MSFT NVDA AMD QQQ SPY Clean Energy Explodes TSLA NIO FSLR ENPH PLUG XPEV FUV Software amp Crypto PLTR FSLY TWLO BTC ETH XRP,0.3666666666666667,positive,1243273376023621639,,19,148,2021-11-03 08:46:28,
25,1454291280670953473,2021-10-29 23:37:15,Seriously Only two securities worth keeping in a portfolio is TSLA and PLTR Crypt DeFi ftw,0.15,positive,490915137,,1,4,2021-11-03 08:46:28,
18,1454807702291374093,2021-10-31 09:49:19,Roaring 2020s Trends Metaverse U MVRS MTTR RBLX Digital Banking SQ UPST AFRM AI NVDA PLTR EVs TSLA LCID eComm SE SHOP Crypto COIN AdTech TTD APPS Cloud NET Streaming ROKU SPOT Telehealth TDOC Genomics EXAS BEAM Solar ENPH Cyber CRWD,0.0,neutral,85663573,,412,2327,2021-11-03 08:46:28,
8,1454897400720601089,2021-10-31 15:45:45,Do Know That Palantir Is Based Out Of Colorado USA Founders Are Peter Thiel And Alex Karp Take A Look At This Beauty Note The Man Who Controls The Food WINS,0.3,positive,1136718680107102208,,54,86,2021-11-03 08:46:28,
7,1454931204617166853,2021-10-31 18:00:05,Dr Michael Kelly President of Palantir Australia reflects on the Defence Data Strategy in we can accelerate procurement decisions by investing in platforms that are modular upgradable and have a roadmap of continual improvement,0.0,neutral,37959591,,26,188,2021-11-03 08:46:28,
13,1455185086672883717,2021-11-01 10:48:55,PLTR 1 SPAC Investments Update Total known investment amount is 285 M or about 11 of Total current assets held by the company at the end of Q2 Cash and cash equivalents 2 341 156 Total current assets 2 662 552,0.0,neutral,898532053,1430,22,119,2021-11-03 08:46:28,
11,1455221905909288964,2021-11-01 13:15:13,PLTR this is exactly what bulls want to see A new high followed by a pullback to the 50 MA to then start running for W 3 to 36 overall 22 is still the key level that needs to hold to stay bullish,0.10927272727272727,positive,1128481490923184128,,27,187,2021-11-03 08:46:28,
17,1455239409834496001,2021-11-01 14:24:47,PLTR is more important to the Metaverse than FB Come at me boomers,0.45,positive,1281084926540935168,,23,365,2021-11-03 08:46:28,
4,1455268792217440256,2021-11-01 16:21:32,At this rate nearly all of TSLA Twitter is going to be retired in the next 2 years What are we supposed to do then,0.05,positive,1235786869482196993,,49,732,2021-11-03 08:46:28,
29,1455297844387229696,2021-11-01 18:16:58,Did some dd on DNA last night Would I be wrong to call this the PLTR of the Genomics space DNA,-0.25,negative,229082050,,2,7,2021-11-03 08:46:28,
9,1455325359780417539,2021-11-01 20:06:19,PLTR Deutsche Bank Starts at Hold While we appreciate Palantir s strong technology platforms mission critical applications and the robust market demand for AI Analytics we are concerned on several fronts including the sustainability of pricing ability to penetrate down,0.06944444444444442,positive,28489821,,6,86,2021-11-03 08:46:28,
10,1455334005784539138,2021-11-01 20:40:40,PLTR Foundry for crypto is needed to regulate coins like SquidCoin huge market for PLTR,0.4000000000000001,positive,1299916382084063232,,8,103,2021-11-03 08:46:28,
24,1455339382471335936,2021-11-01 21:02:02,11 2 Watchlist Flow AMD Heavy volume on 125c 123c 130c MU 70c 73c huge vol especially 73c FB Calls continuing to see crazy flow PLTR Even 28c weekly seeing tons of flow Big move could come this week Thanks to whales this is all clear and easy,0.041666666666666685,positive,1345101918075555846,,32,301,2021-11-03 08:46:28,
5,1455369060984705030,2021-11-01 22:59:58,stock PLTR Crypto ETH,0.0,neutral,1424495521494978562,,0,5,2021-11-03 08:46:28,
21,1455373734710288384,2021-11-01 23:18:32,Cathie Wood s sold nearly 400k shares of PLTR today,0.1,positive,817007725666242561,,28,380,2021-11-03 08:46:28,
0,1455383655027707906,2021-11-01 23:57:57,A great discussion amp market analysis for 11 02 ES QQQ NVDA GOOGL AAPL AMD AMZN IWM LCID ABNB MRNA NFLX SHOP FDX ROKU SQ TSLA SNOW PLTR MSFT Thanks bhai,0.5,positive,2997237090,,30,70,2021-11-03 08:46:28,
1,1455416558990286848,2021-11-02 02:08:42,PLTR Two new patents Ontology backed automatic chart creation Systems and methods for data replication synchronization,0.13636363636363635,positive,1356214197009457157,,11,131,2021-11-03 08:46:28,
31,1455458026677161991,2021-11-02 04:53:29,Which opens up FUD and finance media to narrative of slowing growth My minimum bar is 415 M and I would hope company to do better than 435 M The expectations I am setting are high but then once in a generation company expected to deliver BIG daddy Q against tuf calibrations,0.14,positive,118655832,,0,29,2021-11-03 08:46:28,
30,1455464100843163653,2021-11-02 05:17:37,PLTR If your conviction in a stock is undermined by Cathie Wood s daily trades lol,0.4,positive,1356214197009457157,,5,118,2021-11-03 08:46:28,
6,1455489433633964035,2021-11-02 06:58:17,PLTR Zelnick is a 5 star analyst and that is a fairly articulated reason for the rating Deutsche Bank also increased their stake in Palantir 215 a few months ago,0.24999999999999997,positive,1356214197009457157,,6,53,2021-11-03 08:46:28,
35,1455492427041501184,2021-11-02 07:10:11,is growing Hiring a Marketing Paralegal London,0.0,neutral,784797296835891200,,1,0,2021-11-03 08:46:28,
28,1455500207215501321,2021-11-02 07:41:05,CHEGG Keybanc decrease price target from 95 to 56 ROKU Keybanc decrease notice target from 490 to 460 CLX JP Morgan downgraded to 147 from 171 PLTR Deutsche Bank initiates hold lowers price target to 25 ORCL Deutsche Bank increase price target to 110,0.0,neutral,1413697997343445001,1459,1,12,2021-11-03 08:46:28,
27,1455502261661016065,2021-11-02 07:49:15,Cathie Wood Sells 10 6M In Palantir And 20M In Pinterest And Loads Up 1 7M In This Supplier Of Elon Musk s SpaceX PLTR PINS VLD,0.0,neutral,44060322,206753,5,20,2021-11-03 08:46:28,
26,1455505165579132928,2021-11-02 08:00:48,Cathie Wood Sells 10 6M In Palantir And 20M In Pinterest And Loads Up 1 7M In This Supplier Of Elon Musk s SpaceX PLTR VLD PINS ZM,0.0,neutral,53097729,27795,3,15,2021-11-03 08:46:28,
19,1455506291787386881,2021-11-02 08:05:16,Another dynamic addition to the executive team Chief Commercial Officer will lead commercial business operations and expand adoption of BKSY s SpectraAI SaaS platform Welcome aboard energy geoint supplychain insurance construction,0.2,positive,3247103250,,2,23,2021-11-03 08:46:28,
15,1455506490744348681,2021-11-02 08:06:04,Today s ATMs Most of these have beat earnings JWN INTC HOLX CRUS TSLA LC F OCGN WISH FCEL PLTR SOFI NXPI MCD KSS CAR PFE UPST AMD WMB MCK CLX SKT,0.5,positive,1300049072619954176,1573,1,3,2021-11-03 08:46:28,
12,1455508599338328070,2021-11-02 08:14:26,Long Fb mtch pins zm roku Coin sofi shop u dkng okta twlo mttr dlo mq docn pltr clft glbe gtlb Coming to Earning fed meeting with 59 in just 4 stock pins 27 dkng twlo roku could take a awhile until I can trim them already trim the rest 41,-0.05,negative,1242826489,8081,2,6,2021-11-03 08:46:28,
2,1455518932169859083,2021-11-02 08:55:30,1 2 Analysts Upgrades Downgrades Initiations Nov 02 2021 Upgrades LU BEN FE DFS AA PTEN ZI Downgrades CLX YY TRIT EXPE SKX XOM IQ FIVN BHG CHGG Initiated Re Initiated ADBE SHOP PYXS CRM NOW LPLA INTU MSFT SPLK VMW VXRT SEIC,0.0,neutral,1159935811623821313,530,0,0,2021-11-03 08:46:28,
18,1454512891307171844,2021-10-30 14:17:51,PUBLIC COMPANY CEOs THAT ARE ALL IN Chaudhry Zscaler Walker Walker amp Dunlop Girouard Upstart Musk Tesla Dorsey Square Ek Spotify Lutke Shopify Galperin MercadoLibre Kurtz Crowdstrike Farquhar Cannon Atlassian Ullal Arista Su AMD Van Der Does Adyen Who else,0.0,neutral,14798101,,145,1222,2021-11-03 08:46:26,
4,1454918365613629440,2021-10-31 17:09:04,Valuation Scatterplot Update Points are color coded based on down from 52 week highs see legend FSLY 59 TDOC 51 PINS 50 PTON 47 PLTR 42 TWLO 36 ROKU 34 GDRX 25 TTD 23 MTTR 20 FB 16 U 14 SHOP 11 AMZN 11 SE 8,-0.15555555555555559,negative,1172960306,,77,360,2021-11-03 08:46:26,
15,1455176173240135688,2021-11-01 10:13:30,My Portfolio as of November 1st 25 TSLA 12 SQ 4 5 PLTR PINS AMZN FB ROKU 3 4 ABNB TTD SHOP COIN U DIS 2 3 ARKG RDFN INTC PTON LMND FVRR 1 2 VRNS SOFI MELI 0 1 FUV NNOX Cash 4,0.0,neutral,1270841356647358469,,6,51,2021-11-03 08:46:26,
11,1455220854439153671,2021-11-01 13:11:03,GIG GIGGW DD Thread Valuation GIG 1 6B competitor PLTR 50B Multiple contracts partnerships with amp Current Stock Price 9 99 long commons warrants and calls Q4 merger vote any day now,-0.016666666666666666,negative,840725668207943680,,14,39,2021-11-03 08:46:26,
16,1455225580367007760,2021-11-01 13:29:49,PLTR is my favorite stock not only based on their values but because it s hard to understand their work amp operation it gives asymmetrical information advantage in public markets,0.05208333333333333,positive,435004537,,9,91,2021-11-03 08:46:26,
20,1455356664035565568,2021-11-01 22:10:42,A Guide To Becoming A Profitable Trader TSLA MRNA AAPL FUBO GME AMC NIO PLTR LCID SPY QQQ DWAC WISH CLOV PLUG ES COIN,0.45,positive,416749415,5435,1,1,2021-11-03 08:46:26,
7,1455468631995805701,2021-11-02 05:35:37,What names you all looking At,0.0,neutral,886929750018674692,,0,2,2021-11-03 08:46:26,
6,1455472440772120583,2021-11-02 05:50:45,PLTR 27 50 still my pt1 then 30 soft open to 26 25 region could offer a nice d t opp,0.2333333333333333,positive,1216022138,2488,0,3,2021-11-03 08:46:26,
